method_id,seed,step,mean_reward,max_reward,hard_filter_fraction,mean_kl,mean_entropy,archive_size
A1_uv_only_rl,1702,31,0.24647197127342224,0.4935113191604614,0.890625,0.15733808279037476,0.9256643056869507,1485
A1_uv_only_rl,1702,32,0.21323511004447937,0.48072606325149536,0.78125,0.16618819534778595,0.8782764673233032,1532
A1_uv_only_rl,1702,33,0.25113385915756226,0.46166592836380005,0.90625,0.1555205136537552,0.8797017335891724,1585
A1_uv_only_rl,1702,34,0.26027724146842957,0.48907479643821716,0.890625,0.16118966042995453,0.8810693025588989,1637
A1_uv_only_rl,1702,35,0.23295743763446808,0.4895831346511841,0.859375,0.16381646692752838,0.8837555646896362,1687
A1_uv_only_rl,1702,36,0.24255818128585815,0.496412992477417,0.921875,0.17578931152820587,0.8686124086380005,1739
A1_uv_only_rl,1702,37,0.22343280911445618,0.4939677119255066,0.875,0.17168797552585602,0.8695125579833984,1791
A1_uv_only_rl,1702,38,0.25323110818862915,0.48092103004455566,0.890625,0.18566888570785522,0.8460049629211426,1842
A1_uv_only_rl,1702,39,0.2757580578327179,0.4973260462284088,0.90625,0.1768164336681366,0.8619954586029053,1900
A1_uv_only_rl,1702,40,0.2244645357131958,0.47592893242836,0.796875,0.17565850913524628,0.8803390264511108,1948
A1_uv_only_rl,1702,41,0.22283396124839783,0.5017673969268799,0.78125,0.19583289325237274,0.8600545525550842,1995
A1_uv_only_rl,1702,42,0.24626770615577698,0.4898912012577057,0.90625,0.20873001217842102,0.8699876070022583,2044
A1_uv_only_rl,1702,43,0.2610934376716614,0.46319395303726196,0.90625,0.1993974894285202,0.820921778678894,2097
A1_uv_only_rl,1702,44,0.27805858850479126,0.49302566051483154,0.921875,0.20878198742866516,0.821929395198822,2154
A1_uv_only_rl,1702,45,0.24493545293807983,0.49277520179748535,0.90625,0.2116473913192749,0.8080597519874573,2206
A1_uv_only_rl,1702,46,0.2845819890499115,0.49387428164482117,0.96875,0.20668941736221313,0.8065369725227356,2266
A1_uv_only_rl,1702,47,0.2490784376859665,0.46894264221191406,0.90625,0.21439486742019653,0.7932566404342651,2318
A1_uv_only_rl,1702,48,0.24261796474456787,0.49020060896873474,0.875,0.2106701284646988,0.7792465686798096,2367
A1_uv_only_rl,1702,49,0.24148079752922058,0.49237844347953796,0.875,0.22473937273025513,0.779190719127655,2415
A1_uv_only_rl,1702,50,0.2638346254825592,0.4607107937335968,0.90625,0.23378098011016846,0.7903472185134888,2468
A1_uv_only_rl,1702,51,0.27679455280303955,0.49758031964302063,0.875,0.23105406761169434,0.7448052167892456,2520
A1_uv_only_rl,1702,52,0.2653075158596039,0.5061627626419067,0.921875,0.24134889245033264,0.7483065724372864,2576
A1_uv_only_rl,1702,53,0.25877752900123596,0.495719850063324,0.9375,0.24737513065338135,0.7477595806121826,2631
A1_uv_only_rl,1702,54,0.2853555679321289,0.4821057617664337,0.921875,0.2554691731929779,0.7188040018081665,2685
